categoryid,parentid,categoryname,categoryorder,categoryvisible,alternateurl,lastmodified,category_displaymode,subcategory_displaymode1,subcategory_displaymode2,display_columns,display_rows,display_showlistprice,display_showsaleprice,display_showyousave,display_showdescriptionshort,display_showdescription,display_showstockstatus,display_showavailability,display_featuredproductsonly,subcategory_displaymode2_columns,rootid,metatag_title,metatag_description,default_sortby,link_title_tag,lastmodby,category_graphic_placement,subcategory_displaycolumns,filtercategory,auto_maintained_optioncatid,auto_maintained_optionid,private_section_customers_only,categorydescriptionshort,categorydescription,metatag_keywords,categorydescription_belowproducts,custom_where_clause,custom_metatags_override,alternateurl_opennewwindow,hidden,display_showpoints,vcompareoptout,breadcrumb,subcategory_displaymode1_responsive,subcategory_displaycolumns_responsive,category_displaymode_responsive,display_columns_responsive,subcategory_displaymode2_responsive,vendorcategory
"2073","0","FeaturedCarryOn","","","","3/16/2018 4:24:00 PM","","","","","","N","Y","N","N","N","N","N","N","","2073","Featured Carry On Luggage | Luggage City","Featured Carry On Luggage on Luggage City","Popularity","FeaturedCarryOn","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Featured Carry-on Luggage</inline></h1>","","","","","N","Y","N","N","","","3","7","5","",""
"2074","0","FeaturedMedium","","","","3/16/2018 4:24:00 PM","","","","","","N","Y","N","N","N","N","N","N","","2074","Featured Medium Luggage | Luggage City","Featured Medium Luggage on Luggage City","Popularity","FeaturedMedium","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Featured Medium Luggage</inline></h1>","","","","","N","Y","N","N","","","3","7","5","",""
"2075","0","FeaturedLarge","","","","3/16/2018 4:24:00 PM","","","","","","N","Y","N","N","N","N","N","N","","2075","Featured Large Luggage | Luggage City","Featured Large Luggage on Luggage City","Popularity","FeaturedLarge","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Featured Large Luggage</inline></h1>","","","","","N","Y","N","N","","","3","7","5","",""
"2076","0","Contact Us","","","/Contact-Us_a/273.htm","3/7/2018 12:10:00 PM","","","","","","","","","","","","","","","2076","Contact Us | Luggage City","","","Contact Us","772","","","N","","","N","","","","","","","N","Y","","N","","","3","","5","",""
"2078","0","Pacsafe Vibe","","","","3/16/2018 4:24:00 PM","","","","","","N","Y","N","N","N","N","N","N","","2078","Pacsafe Vibe Anti-Theft Features | Luggage City","Activate your life with the sporty Pacsafe Vibe™ series to spruce up your look as you keep your valuables safe.","","Pacsafe Vibe","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Pacsafe Vibe</inline></h1>","","","CustomField2 = 'Vibe'","","N","Y","N","N","","","3","7","5","",""
"2079","1892","Lock","0","1","","3/16/2018 4:24:00 PM","","","","","","N","Y","N","N","N","N","N","N","","1892","Lock | Luggage City","","PriceLow","Lock","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Lock</inline></h1>","","","p.ProductName LIKE '% lock%' 
AND p.ProductName NOT LIKE '%locker%' 
AND  p.ProductName NOT LIKE '%block%'","","N","N","N","N","Accessories","","3","7","5","",""
"2080","1892","Luggage Tag","0","","","3/16/2018 4:24:00 PM","","","","","","N","Y","N","N","N","N","N","N","","1892","Luggage Tag | Luggage City","","PriceLow","Luggage Tag","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Luggage Tag</inline></h1>","","","p.ProductName LIKE '% Luggage Tag%'","","N","N","N","N","Accessories","","3","7","5","",""
"2081","0","New Arrival","","1","","3/16/2018 4:24:00 PM","","","","","","N","Y","N","N","N","N","N","N","","2081","New Arrival | Luggage City","New Arrival","PriceLow","New Arrival","772","","","N","","","N","New Arrival","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">New Arrival</inline></h1>","","","p.DisplayBeginDate >= DATEADD(dd, -60, GETDATE())","","N","N","N","N","","","3","7","5","",""
"2082","1822","Genuine Leather Backpacks","1","","","3/16/2018 4:24:00 PM","","","","","","N","Y","N","N","N","N","N","N","","1822","Genuine Leather Backpacks | Luggage City","Find the fashion Genuine Leather Backpacks with wide selections and decent prices at LuggageCity.ca. Up to 40% OFF. Shop Now!!!","","Genuine Leather Backpacks","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Genuine Leather Backpacks</inline></h1>","","","","","N","N","N","N","Backpacks","","3","7","5","",""
"2083","1513","Genuine Leather Handbags","1","","","3/16/2018 4:24:00 PM","","","","","","N","Y","N","N","N","N","N","N","","1513","Genuine Leather Handbags | Luggage City","Find the fashion Genuine Leather Handbags with wide selection and decent prices at LuggageCity.ca. Enjoy 30%-40% OFF. Shop Now!!!","","Genuine Leather Handbags","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Genuine Leather Handbags</inline></h1>","","","","","N","N","N","N","Handbags","","3","7","5","",""
"2084","0","Spring into Saving","","7","","3/16/2018 4:24:00 PM","","","","","5","N","Y","N","N","N","N","N","N","","2084","Spring into Saving | Luggage City","2018 Spring Sales on Luggage City. Save up to 75%! Free shipping over $99. Shop at Luggage City Today!","Popularity","Spring into Saving","772","","","N","","","N","","<h1 style=""text-align: center;""><inline style=""font-size: 24px;"">Spring into Saving</inline></h1>","","","P.CategoryIDs LIKE '%2070%'","","N","Y","N","N","","","3","7","5","",""
"2085","0","Pacsafe Anti-Theft Technology","32","1","","4/18/2018 1:00:00 PM","","","","","","","","","","","","","","","2085","","","","","267","","","","","","","","","","","","","","","","","","","3","6","3","",""
